Quoi	PRO	quoi
projets	NOM	projet
,	PUN	,
Et	NOM	Et
ne	ADV	ne
consultant	VER:ppre	consulter
plus	ADV	plus
qu'	KON	que
un	DET:ART	un
flatteur	NOM	flatteur
qui	PRO:REL	qui
le	DET:ART	le
loue	NOM	loue
,	PUN	,
Va	VER:pper	Va
jusqu'	PRP	jusque
à	PRP	à
présumer	VER:infi	présumer
que	KON	que
les	DET:ART	le
ciel	NOM	ciel
les	PRO:PER	la|le
avoue	VER:pres	avouer
;	PUN	;
Il	NAM	Il
croit	VER:pres	croire
exécuter	VER:infi	exécuter
tout	PRO:IND	tout
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
entreprend	VER:pres	entreprendre
,	PUN	,
Il	NOM	Il
n'	ADV	ne
est	VER:pres	être
plus	ADV	plus
de	PRP	de
dessein	NOM	dessein
qui	PRO:REL	qui
lui	PRO:PER	lui
semble	VER:pres	sembler
trop	ADV	trop
grand	ADJ	grand
,	PUN	,
Rempli	VER:pper	remplir
de	PRP	de
confiance	NOM	confiance
,	PUN	,
il	PRO:PER	il
court	VER:pres	courir
,	PUN	,
triomphe	NOM	triomphe
,	PUN	,
immole	VER:pres	immoler
,	PUN	,
Pour	NAM	Pour
lui	PRO:PER	lui
le	PRO:PER	le
sort	VER:pres	sortir
se	PRO:PER	se
fixe	ADJ	fixe
,	PUN	,
et	KON	et
la	DET:ART	le
victoire	NOM	victoire
vole	VER:pres	voler
;	PUN	;
Il	NAM	Il
gagne	VER:pres	gagner
des	PRP:det	du
soldats	NOM	soldat
et	KON	et
l'	DET:ART	le
estime	NOM	estime
,	PUN	,
et	KON	et
le	DET:ART	le
coeur	NOM	cœur
,	PUN	,
Les	DET:ART	le
peuples	NOM	peuple
à	PRP	à
son	DET:POS	son
nom	NOM	nom
sont	VER:pres	être
glacés	VER:pper	glacer
de	PRP	de
terreur	NOM	terreur
;	PUN	;
Ainsi	NOM	Ainsi
gardant	VER:ppre	garder
sur	PRP	sur
tout	PRO:IND	tout
un	DET:ART	un
empire	NOM	empire
suprême	ADJ	suprême
,	PUN	,
Tout	NAM	Tout
l'	PRO:PER	la|le
honore	VER:pres	honorer
ou	KON	ou
le	PRO:PER	le
fuit	VER:pres	fuir
,	PUN	,
tout	PRO:IND	tout
le	DET:ART	le
redoute	NOM	redoute
ou	KON	ou
l'	PRO:PER	la|le
aime	VER:pres	aimer
,	PUN	,
Tant	NAM	Tant
qu'	KON	que
enfin	ADV	enfin
sa	DET:POS	son
valeur	NOM	valeur
l'	PRO:PER	la|le
élevant	VER:ppre	élever
jusqu'	PRP	jusque
aux	PRP:det	au
cieux	NOM	cieux
,	PUN	,
Il	NAM	Il
voit	VER:pres	voir
ses	DET:POS	son
attentats	NOM	attentat
devenir	NOM	devenir
glorieux	ADJ	glorieux
.	SENT	.
Ah	INT	ah
!	SENT	!
Que	KON	que
vous	PRO:PER	vous
m'	PRO:PER	me
étonnez	VER:pres	étonner
!	SENT	!
Mais	KON	mais
prévenons	VER:pres	prévenir
sa	DET:POS	son
fuite	NOM	fuite
,	PUN	,
Sans	NAM	Sans
cesse	VER:pres	cesser
de	PRP	de
plus	ADV	plus
près	ADV	près
éclairons	VER:pres	éclairer
sa	DET:POS	son
conduite	NOM	conduite
,	PUN	,
Veillez	VER:pres	veiller
sur	PRP	sur
tous	PRO:IND	tout
ses	DET:POS	son
pas	NOM	pas
et	KON	et
redoublez	VER:pres	redoubler
vos	DET:POS	votre
soins	NOM	soin
,	PUN	,
Placez	VER:pres	placer
autour	ADV	autour
de	PRP	de
lui	PRO:PER	lui
de	PRP	de
fidèles	ADJ	fidèle
témoins	NOM	témoin
;	PUN	;
Enfin	NOM	Enfin
dans	PRP	dans
ce	PRO:DEM	ce
départ	NOM	départ
tâchons	VER:pres	tâcher
de	PRP	de
le	PRO:PER	le
surprendre	VER:infi	surprendre
,	PUN	,
Si	VER:infi	Si
contre	PRP	contre
ma	DET:POS	mon
défense	NOM	défense
il	PRO:PER	il
l'	PRO:PER	la|le
osait	VER:impf	oser
entreprendre	VER:infi	entreprendre
.	SENT	.
Allez	VER:pres	aller
.	SENT	.
Ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
tout	ADV	tout
.	SENT	.
Dans	PRP	dans
ce	PRO:DEM	ce
fatal	ADJ	fatal
moment	NOM	moment
Je	PRO:PER	je
sens	VER:pres	sentir
mon	DET:POS	mon
coeur	NOM	cœur
troublé	VER:pper	troubler
d'	PRP	de
un	DET:ART	un
autre	ADJ	autre
mouvement	NOM	mouvement
,	PUN	,
Ah	NAM	Ah
!	SENT	!
Qu'	KON	que
Andronic	NAM	Andronic
encore	ADV	encore
et	KON	et
m'	PRO:PER	me
alarme	VER:pres	alarmer
et	KON	et
me	PRO:PER	me
gêne	VER:pres	gêner
Pourquoi	NOM	pourquoi
dans	PRP	dans
ses	DET:POS	son
desseins	NOM	dessein
fait-il	NOM	fait-il
entrer	VER:infi	entrer
Irène	NAM	Irène
?	SENT	?
Quel	PRO:REL	quel
intérêt	NOM	intérêt
prend-elle	VER:pres	prend-elle
au	PRP:det	au
destin	NOM	destin
de	PRP	de
mon	DET:POS	mon
fils	NOM	fil|fils
?	SENT	?
Que	KON	que
dis	VER:pres	dire
-je	PRO:PER	je
?	SENT	?
Ils	PRO:PER	il
se	PRO:PER	se
parlaient	VER:impf	parler
quand	KON	quand
je	PRO:PER	je
les	PRO:PER	la|le
ai	VER:pres	avoir
surpris	VER:pper	surprendre
;	PUN	;
J'	NAM	J'
ai	VER:pres	avoir
remarqué	VER:pper	remarquer
leur	DET:POS	leur
trouble	NOM	trouble
en	PRP	en
me	PRO:PER	me
voyant	VER:ppre	voir
paraître	VER:infi	paraître
,	PUN	,
Ô	NOM	Ô
ciel	NOM	ciel
!	SENT	!
Quelle	PRO:REL	quel
terreur	NOM	terreur
!	SENT	!
Je	PRO:PER	je
me	PRO:PER	me
trompe	VER:pres	tromper
peut-être	ADV	peut-être
,	PUN	,
Chassons	VER:pres	chasser
cette	PRO:DEM	ce
pensée	NOM	pensée
,	PUN	,
épargnons	VER:pres	épargner
à	PRP	à
nos	DET:POS	notre
yeux	NOM	œil
Tout	NAM	Tout
ce	PRO:DEM	ce
qu'	PRO:REL	que
a	VER:pres	avoir
de	PRP	de
cruel	ADJ	cruel
cet	PRO:DEM	ce
objet	NOM	objet
odieux	ADJ	odieux
:	PUN	:
Mais	KON	mais
plutôt	ADV	plutôt
pénétrons	VER:pres	pénétrer
cette	PRO:DEM	ce
étrange	ADJ	étrange
aventure	NOM	aventure
,	PUN	,
L'	DET:ART	le
amour	NOM	amour
dans	PRP	dans
tous	PRO:IND	tout
les	DET:ART	le
coeurs	NOM	cœur
étouffe	VER:pres	étouffer
la	DET:ART	le
nature	NOM	nature
;	PUN	;
Ne	NAM	Ne
nous	PRO:PER	nous
assurons	VER:pres	assurer
point	ADV	point
sur	PRP	sur
les	DET:ART	le
devoirs	NOM	devoir
d'	PRP	de
un	DET:ART	un
fils	NOM	fil|fils
,	PUN	,
Quand	NAM	Quand
l'	DET:ART	le
amour	NOM	amour
est	VER:pres	être
extrême	ADJ	extrême
,	PUN	,
il	PRO:PER	il
se	PRO:PER	se
croit	VER:pres	croire
tout	ADV	tout
permis	VER:pper	permettre
?	SENT	?
Andronic	NAM	Andronic
,	PUN	,
je	PRO:PER	je
le	PRO:PER	le
sais	VER:pres	savoir
,	PUN	,
aima	VER:simp	aimer
l'	DET:ART	le
impératrice	NOM	impératrice
,	PUN	,
Et	VER:simp	Et
bien	ADV	bien
qu'	KON	que
à	PRP	à
ses	DET:POS	son
désirs	NOM	désir
mon	DET:POS	mon
hymen	NOM	hymen
la	PRO:PER	la
ravisse	VER:subp	ravir
,	PUN	,
Ce	NOM	Ce
feu	ADJ	feu
dont	PRO:REL	dont
il	PRO:PER	il
brûlait	VER:impf	brûler
peut-être	ADV	peut-être
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
éteint	VER:pper	éteindre
,	PUN	,
Et	VER:simp	Et
peut-être	ADV	peut-être
qu'	KON	que
Irène	NAM	Irène
et	KON	et
l'	DET:ART	le
écoute	NOM	écoute
,	PUN	,
et	KON	et
le	PRO:PER	le
plaint	VER:pres	plaindre
:	PUN	:
Ah	INT	ah
!	SENT	!
Si	KON	si
je	PRO:PER	je
le	PRO:PER	le
croyais	VER:impf	croire
...	PUN	...
Un	ABR	Un
châtiment	NOM	châtiment
sévère	ADJ	sévère
...	PUN	...
Allons	NAM	Allons
,	PUN	,
développons	VER:pres	développer
ce	PRO:DEM	ce
funeste	ADJ	funeste
mystère	NOM	mystère
;	PUN	;
Ils	NAM	Ils
se	PRO:PER	se
cachent	VER:pres	cacher
en	PRP	en
vain	ADJ	vain
,	PUN	,
et	KON	et
pour	KON	pour
tout	ADV	tout
deviner	VER:infi	deviner
,	PUN	,
C'	NAM	C'
est	VER:pres	être
assez	ADV	assez
que	KON	que
mon	DET:POS	mon
coeur	NOM	cœur
commence	VER:pres	commencer
à	PRP	à
soupçonner	VER:infi	soupçonner
,	PUN	,
Ne	NAM	Ne
différons	VER:pres	différer
donc	ADV	donc
plus	ADV	plus
,	PUN	,
et	KON	et
si	KON	si
je	PRO:PER	je
vois	VER:pres	voir
le	DET:ART	le
crime	NOM	crime
,	PUN	,
Punissons	NOM	Punissons
sans	PRP	sans
songer	VER:infi	songer
si	KON	si
j'	PRO:PER	je
aime	VER:pres	aimer
la	DET:ART	le
victime	NOM	victime
.	SENT	.
Seigneur	NAM	Seigneur
,	PUN	,
que	PRO:REL	que
faites	VER:pres	faire
-vous	PRO:PER	vous
?	SENT	?
Ah	INT	ah
!	SENT	!
Ne	ADV	ne
m'	PRO:PER	me
en	PRO:PER	en
parlez	VER:pres	parler
plus	ADV	plus
,	PUN	,
Martian	NAM	Martian
,	PUN	,
tes	DET:POS	ton
discours	NOM	discours
sont	VER:pres	être
ici	ADV	ici
superflus	ADJ	superflu
;	PUN	;
Je	PRO:PER	je
suis	VER:pres	suivre|être
trop	ADV	trop
irrité	VER:pper	irriter
pour	PRP	pour
cesser	VER:infi	cesser
de	PRP	de
me	PRO:PER	me
plaindre	VER:infi	plaindre
.	SENT	.
Mais	KON	mais
quoi	PRO:REL	quoi
!	SENT	!
Ne	ADV	ne
sauriez	VER:cond	savoir
-vous	PRO:PER	vous
un	DET:ART	un
moment	NOM	moment
vous	PRO:PER	vous
contraindre	VER:infi	contraindre
?	SENT	?
Modérez	VER:pres	modérer
vos	DET:POS	votre
transports	NOM	transport
,	PUN	,
est	VER:pres	être
-ce	PRO:DEM	ce
dans	PRP	dans
le	DET:ART	le
palais	NOM	palais
Qu'	ADJ	Qu'
il	PRO:PER	il
faut	VER:pres	falloir
faire	VER:infi	faire
si	KON	si
haut	ADV	haut
éclater	VER:infi	éclater
vos	DET:POS	votre
regrets	NOM	regret
?	SENT	?
Peut-être	ADV	peut-être
on	PRO:PER	on
vous	PRO:PER	vous
observe	VER:pres	observer
.	SENT	.
As	VER:pres	avoir
-tu	PRO:PER	tu
trouvé	VER:pper	trouver
Léonce	NAM	Léonce
!	SENT	!
Est-il	NOM	Est-il
prêt	ADJ	prêt
?	SENT	?
Qu'	KON	que
a-t-il	ADJ	a-t-il
dit	VER:pres	dire
?	SENT	?
Et	KON	et
quelle	PRO:REL	quel
est	VER:pres	être
sa	DET:POS	son
réponse	NOM	réponse
?	SENT	?
Il	PRO:PER	il
se	PRO:PER	se
fait	VER:pres	faire
de	PRP	de
vos	DET:POS	votre
lois	NOM	loi
un	DET:ART	un
souverain	ADJ	souverain
devoir	NOM	devoir
;	PUN	;
Mais	VER:impf	Mais
il	PRO:PER	il
vient	VER:pres	venir
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
en	PRP	en
vous	PRO:PER	vous
que	PRO:REL	que
je	PRO:PER	je
mets	VER:pres	mettre
mon	DET:POS	mon
espoir	NOM	espoir
À	PRP	à
des	PRP:det	du
maux	NOM	mal
éternels	ADJ	éternel
la	DET:ART	le
fortune	NOM	fortune
me	PRO:PER	me
livre	VER:pres	livrer
;	PUN	;
Ami	NAM	Ami
,	PUN	,
je	PRO:PER	je
suis	VER:pres	suivre|être
perdu	VER:pper	perdre
,	PUN	,
si	KON	si
je	PRO:PER	je
ne	ADV	ne
puis	ADV	puis
vous	PRO:PER	vous
suivre	VER:infi	suivre
,	PUN	,
L'	DET:ART	le
Empereur	NOM	empereur
avec	PRP	avec
vous	PRO:PER	vous
me	PRO:PER	me
défend	VER:pres	défendre
de	PRP	de
partir	VER:infi	partir
,	PUN	,
Mais	VER:impf	Mais
l'	DET:ART	le
ardeur	NOM	ardeur
que	PRO:REL	que
je	PRO:PER	je
sens	VER:pres	sentir
ne	ADV	ne
se	PRO:PER	se
peut	VER:pres	pouvoir
ralentir	VER:infi	ralentir
;	PUN	;
Si	VER:infi	Si
je	PRO:PER	je
puis	ADV	puis
par	PRP	par
vos	DET:POS	votre
soins	NOM	soin
assurer	VER:infi	assurer
ma	DET:POS	mon
retraite	NOM	retraite
,	PUN	,
Mes	VER:simp	Mes
souhaits	NOM	souhait
sont	VER:pres	être
remplis	VER:pper	remplir
,	PUN	,
mon	DET:POS	mon
âme	NOM	âme
est	VER:pres	être
satisfaite	VER:pper	satisfaire
;	PUN	;
Parlez	NAM	Parlez
,	PUN	,
sortirons-nous	NOM	sortirons-nous
de	PRP	de
ces	PRO:DEM	ce
lieux	NOM	lieu
ennemis	ADJ	ennemi
?	SENT	?
Ce	PRO:DEM	ce
favorable	ADJ	favorable
espoir	NOM	espoir
peut-il	ADJ	peut-il
m'	PRO:PER	me
être	VER:infi	être
permis	VER:pper	permettre
?	SENT	?
Oui	INT	oui
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
tout	PRO:IND	tout
est	VER:pres	être
prêt	ADJ	prêt
,	PUN	,
vous	PRO:PER	vous
n'	ADV	ne
avez	VER:pres	avoir
qu'	ADV	qu'
à	PRP	à
me	PRO:PER	me
suivre	VER:infi	suivre
,	PUN	,
Allons	NAM	Allons
,	PUN	,
que	KON	que
pour	KON	pour
jamais	ADV	jamais
la	DET:ART	le
fuite	NOM	fuite
vous	PRO:PER	vous
délivre	VER:pres	délivrer
,	PUN	,
Des	VER:simp	Des
chagrins	ADJ	chagrin
,	PUN	,
des	PRP:det	du
périls	NOM	péril
qui	PRO:REL	qui
menacent	VER:pres	menacer
vos	DET:POS	votre
jours	NOM	jour
,	PUN	,
De	VER:ppre	De
nos	DET:POS	notre
peuples	NOM	peuple
armés	ADJ	armé
acceptez	VER:pres	accepter
le	DET:ART	le
secours	NOM	secours
,	PUN	,
Il	NOM	Il
ne	ADV	ne
veulent	VER:pres	vouloir
que	KON	que
vous	PRO:PER	vous
:	PUN	:
à	PRP	à
l'	DET:ART	le
envi	PRP	envi
l'	DET:ART	le
un	NOM	un
de	PRP	de
l'	DET:ART	le
autre	ADJ	autre
Ils	NOM	Ils
donneront	VER:futu	donner
leur	DET:POS	leur
sang	NOM	sang
pour	PRP	pour
défendre	VER:infi	défendre
le	DET:ART	le
vôtre	PRO:POS	vôtre
.	SENT	.
Brisez	VER:pres	briser
un	DET:ART	un
joug	NOM	joug
fatal	ADJ	fatal
,	PUN	,
et	KON	et
que	KON	que
vos	DET:POS	votre
premiers	NUM	premier
coups	NOM	coup
;	PUN	;
Attirent	VER:simp	Attirent
tous	PRO:IND	tout
les	DET:ART	le
yeux	NOM	œil
et	KON	et
tous	PRO:IND	tout
les	DET:ART	le
coeurs	NOM	cœur
à	PRP	à
vous	PRO:PER	vous
.	SENT	.
Non	ADV	non
,	PUN	,
ne	ADV	ne
balançons	VER:pres	balancer
plus	ADV	plus
,	PUN	,
par	PRP	par
trop	ADV	trop
de	PRP	de
violence	NOM	violence
On	NAM	On
a	VER:pres	avoir
poussé	VER:pper	pousser
mon	DET:POS	mon
coeur	NOM	cœur
,	PUN	,
et	KON	et
lassé	VER:pper	lasser
ma	DET:POS	mon
confiance	NOM	confiance
,	PUN	,
Ouvrons	VER:futu	Ouvrons
des	PRP:det	du
yeux	NOM	œil
enfin	ADV	enfin
trop	ADV	trop
longtemps	ADV	longtemps
abusés	VER:pper	abuser
,	PUN	,
Rendons	NOM	Rendons
à	PRP	à
notre	DET:POS	notre
tour	NOM	tour
les	DET:ART	le
maux	NOM	mal
qu'	PRO:REL	que
on	PRO:PER	on
m'	PRO:PER	me
a	VER:pres	avoir
causés	VER:pper	causer
.	SENT	.
Vengez	VER:pres	venger
-vous	PRO:PER	vous
,	PUN	,
vengez	VER:pres	venger
-vous	PRO:PER	vous
,	PUN	,
nos	DET:POS	notre
peuples	NOM	peuple
vous	PRO:PER	vous
attendent	VER:pres	attendre
,	PUN	,
Ne	NAM	Ne
leur	PRO:PER	lui
refusez	VER:pres	refuser
plus	ADV	plus
le	DET:ART	le
bras	NOM	bras
qu'	PRO:REL	que
ils	PRO:PER	il
vous	PRO:PER	vous
demandent	VER:pres	demander
Vous	NAM	Vous
avez	VER:pres	avoir
en	PRP	en
vos	DET:POS	votre
mains	NOM	main
le	DET:ART	le
projet	NOM	projet
arrêté	ADJ	arrêté
Comme	VER:subp	Comme
un	DET:ART	un
gage	NOM	gage
certain	ADJ	certain
de	PRP	de
leur	DET:POS	leur
fidélité	NOM	fidélité
;	PUN	;
Vous	NAM	Vous
trouverez	VER:futu	trouver
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
des	PRP:det	du
troupes	NOM	troupe
toutes	PRO:IND	tout
prêtes	ADJ	prêt
,	PUN	,
Des	VER:simp	Des
soldats	NOM	soldat
orgueilleux	ADJ	orgueilleux
du	PRP:det	du
bruit	NOM	bruit
de	PRP	de
leurs	DET:POS	leur
conquêtes	NOM	conquête
Fidèles	VER:pres	Fidèles
à	PRP	à
leur	DET:POS	leur
chef	NOM	chef
,	PUN	,
patients	ADJ	patient
à	PRP	à
souffrir	VER:infi	souffrir
,	PUN	,
Et	NOM	Et
toujours	ADV	toujours
résolus	VER:pper	résoudre
de	PRP	de
vaincre	VER:infi	vaincre
ou	KON	ou
de	PRP	de
mourir	VER:infi	mourir
,	PUN	,
Courez	VER:pres	courir
les	PRO:PER	la|le
commander	VER:infi	commander
,	PUN	,
et	KON	et
tentez	VER:pres	tenter
la	DET:ART	le
fortune	NOM	fortune
,	PUN	,
Mais	VER:impf	Mais
surtout	ADV	surtout
bannissez	VER:pres	bannir
une	DET:ART	un
crainte	NOM	crainte
importune	ADJ	importun
,	PUN	,
En	NOM	En
livrant	VER:ppre	livrer
votre	DET:POS	votre
bras	NOM	bras
à	PRP	à
ces	PRO:DEM	ce
nobles	ADJ	noble
efforts	NOM	effort
Prenez	VER:pres	prendre
soin	NOM	soin
de	PRP	de
fermer	VER:infi	fermer
votre	DET:POS	votre
coeur	NOM	cœur
aux	PRP:det	au
remords	NOM	remords
;	PUN	;
Ne	NAM	Ne
vous	PRO:PER	vous
souvenez	VER:pres	souvenir
plus	ADV	plus
pendant	PRP	pendant
votre	DET:POS	votre
entreprise	NOM	entreprise
,	PUN	,
Si	VER:ppre	Si
l'	DET:ART	le
exacte	ADJ	exact
équité	NOM	équité
la	DET:ART	le
blâme	NOM	blâme
,	PUN	,
ou	KON	ou
l'	PRO:PER	la|le
autorise	VER:pres	autoriser
;	PUN	;
Entrez	VER:pres	entrer
dans	PRP	dans
la	DET:ART	le
carrière	NOM	carrière
,	PUN	,
et	KON	et
sans	PRP	sans
vous	PRO:PER	vous
arrêter	VER:infi	arrêter
Au	VER:pper	Au
degré	NOM	degré
le	DET:ART	le
plus	ADV	plus
haut	ADJ	haut
,	PUN	,
hâtez	VER:pres	hâter
-vous	PRO:PER	vous
de	PRP	de
monter	VER:infi	monter
;	PUN	;
Ces	VER:infi	Ces
scrupuleux	ADJ	scrupuleux
devoirs	NOM	devoir
,	PUN	,
et	KON	et
ces	PRO:DEM	ce
regards	NOM	regard
sévères	ADJ	sévère
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
sont	VER:pres	être
des	PRP:det	du
vertus	NOM	vertu
pour	KON	pour
des	PRP:det	du
hommes	NOM	homme
vulgaires	ADJ	vulgaire
:	PUN	:
Qui	PRO:REL	qui
se	PRO:PER	se
sent	VER:pres	sentir
un	DET:ART	un
esprit	NOM	esprit
prompt	ADJ	prompt
à	PRP	à
s'	PRO:PER	se
effaroucher	VER:infi	effaroucher
Sur	NAM	Sur
les	DET:ART	le
pas	NOM	pas
des	PRP:det	du
héros	NOM	héro|héros
ne	ADV	ne
doit	VER:pres	devoir
jamais	ADV	jamais
marcher	VER:infi	marcher
.	SENT	.
Les	DET:ART	le
hommes	NOM	homme
destinés	VER:pper	destiner
à	PRP	à
gouverner	VER:infi	gouverner
la	DET:ART	le
terre	NOM	terre
,	PUN	,
À	PRP	à
traîner	VER:infi	traîner
avec	PRP	avec
eux	PRO:PER	eux
la	DET:ART	le
terreur	NOM	terreur
et	KON	et
la	DET:ART	le
guerre	NOM	guerre
,	PUN	,
Loin	NOM	loin
de	PRP	de
porter	VER:infi	porter
un	DET:ART	un
coeur	NOM	cœur
de	PRP	de
remords	NOM	remords
combattu	VER:pper	combattre
Au	VER:simp	Au
poids	NOM	poids
de	PRP	de
la	DET:ART	le
grandeur	NOM	grandeur
mesurent	VER:pres	mesurer
leur	DET:POS	leur
vertu	NOM	vertu
.	SENT	.
Mais	KON	mais
pour	PRP	pour
ma	DET:POS	mon
fuite	NOM	fuite
,	PUN	,
ami	ADJ	ami
,	PUN	,
quel	PRO:REL	quel
parti	NOM	parti
dois	VER:pres	devoir
-je	PRO:PER	je
prendre	VER:infi	prendre
?	SENT	?
Martian	NAM	Martian
est	VER:pres	être
instruit	VER:pper	instruire
,	PUN	,
et	KON	et
je	PRO:PER	je
cours	VER:pres	courir
vous	PRO:PER	vous
attendre	VER:infi	attendre
;	PUN	;
D'	ADJ	D'
abord	NOM	abord
que	KON	que
l'	DET:ART	le
Empereur	NOM	empereur
congédiant	VER:ppre	congédier
la	DET:ART	le
Cour	NAM	Cour
Se	NAM	Se
sera	VER:futu	être
retiré	VER:pper	retirer
pour	PRP	pour
attendre	VER:infi	attendre
le	DET:ART	le
jour	NOM	jour
;	PUN	;
Martian	NAM	Martian
sur	PRP	sur
mes	DET:POS	mon
pas	NOM	pas
,	PUN	,
soigneux	ADJ	soigneux
de	PRP	de
vous	PRO:PER	vous
conduire	VER:infi	conduire
Assurera	VER:futu	assurer
la	DET:ART	le
fuite	NOM	fuite
où	PRO:REL	où
votre	DET:POS	votre
coeur	NOM	cœur
aspire	VER:pres	aspirer
;	PUN	;
J'	NAM	J'
ai	VER:pres	avoir
dans	PRP	dans
tous	PRO:IND	tout
les	DET:ART	le
chemins	NOM	chemin
par	PRP	par
où	PRO:REL	où
vous	PRO:PER	vous
passerez	VER:futu	passer
De	VER:pper	De
fidèles	ADJ	fidèle
amis	NOM	ami
et	KON	et
des	PRP:det	du
coeurs	NOM	cœur
assurés	VER:pper	assurer
,	PUN	,
Qui	NAM	Qui
tous	PRO:IND	tout
brûlants	ADJ	brûlant
pour	PRP	pour
vous	PRO:PER	vous
d'	PRP	de
une	DET:ART	un
amitié	NOM	amitié
parfaite	ADJ	parfait
,	PUN	,
Fourniront	VER:futu	fournir
les	DET:ART	le
moyens	NOM	moyen
d'	PRP	de
une	DET:ART	un
prompte	ADJ	prompt
retraite	NOM	retraite
;	PUN	;
Hâtez	VER:pres	hâter
-vous	PRO:PER	vous
donc	ADV	donc
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
moi	PRO:PER	moi
sans	PRP	sans
plus	ADV	plus
différer	VER:infi	différer
À	PRP	à
remplir	VER:infi	remplir
vos	DET:POS	votre
désirs	NOM	désir
,	PUN	,
je	PRO:PER	je
vais	VER:pres	aller
tout	ADV	tout
préparer	VER:infi	préparer
.	SENT	.
C'	PRO:DEM	ce
en	PRO:PER	en
est	VER:pres	être
donc	ADV	donc
fait	VER:pper	faire
,	PUN	,
Seigneur	NAM	Seigneur
,	PUN	,
et	KON	et
malgré	PRP	malgré
ma	DET:POS	mon
prière	NOM	prière
Vous	NAM	Vous
suivez	VER:pres	suivre
les	DET:ART	le
transports	NOM	transport
d'	PRP	de
une	DET:ART	un
aveugle	ADJ	aveugle
colère	NOM	colère
!	SENT	!
Il	PRO:PER	il
n'	ADV	ne
est	VER:pres	être
rien	ADV	rien
désormais	ADV	désormais
qui	PRO:REL	qui
vous	PRO:PER	vous
puisse	VER:subp	pouvoir
arrêter	VER:infi	arrêter
,	PUN	,
Dans	NAM	Dans
quels	PRO:REL	quel
affreux	ADJ	affreux
périls	NOM	péril
vous	PRO:PER	vous
courez	VER:pres	courir
vous	PRO:PER	vous
jeter	VER:infi	jeter
?	SENT	?
Ignorez	VER:pres	ignorer
-vous	PRO:PER	vous
l'	DET:ART	le
abîme	NOM	abîme
ou	KON	ou
ce	PRO:DEM	ce
départ	NOM	départ
vous	PRO:PER	vous
mène	VER:pres	mener
?	SENT	?
J'	PRO:PER	je
en	PRO:PER	en
frémis	VER:pres	frémir
,	PUN	,
vous	PRO:PER	vous
cherchez	VER:pres	chercher
votre	DET:POS	votre
perte	NOM	perte
certaine	ADJ	certain
;	PUN	;
Non	NAM	Non
,	PUN	,
l'	DET:ART	le
Empereur	NOM	empereur
en	PRP	en
vous	PRO:PER	vous
ne	ADV	ne
verra	VER:futu	voir
plus	ADV	plus
son	DET:POS	son
fils	NOM	fil|fils
,	PUN	,
Et	NAM	Et
vous	PRO:PER	vous
êtes	VER:pres	être
perdu	VER:pper	perdre
si	KON	si
vous	PRO:PER	vous
êtes	VER:pres	être
surpris	VER:pper	surprendre
;	PUN	;
Ne	NAM	Ne
calmerez	VER:futu	calmer
-vous	PRO:PER	vous
point	VER:pres	poindre
cette	PRO:DEM	ce
ardeur	NOM	ardeur
indiscrète	ADJ	indiscret
.	SENT	.
Ah	INT	ah
!	SENT	!
Cruel	ADJ	cruel
,	PUN	,
oses	VER:pres	oser
-tu	PRO:PER	tu
condamner	VER:infi	condamner
ma	DET:POS	mon
retraite	NOM	retraite
?	SENT	?
Laisse	NOM	laisse
,	PUN	,
laisse	VER:pres	laisser
-moi	PRO:PER	moi
fuir	VER:infi	fuir
,	PUN	,
est-il	ADJ	est-il
quelque	PRO:IND	quelque
séjour	NOM	séjour
Plus	VER:pper	plaire
à	PRP	à
craindre	VER:infi	craindre
pour	PRP	pour
moi	PRO:PER	moi
que	KON	que
cette	PRO:DEM	ce
affreuse	ADJ	affreux
Cour	NAM	Cour
?	SENT	?
Je	PRO:PER	je
sais	VER:pres	savoir
dans	PRP	dans
mon	DET:POS	mon
projet	NOM	projet
quels	PRO:REL	quel
malheurs	NOM	malheur
je	PRO:PER	je
m'	PRO:PER	me
apprête	VER:pres	apprêter
Qu'	ADJ	Qu'
à	PRP	à
m'	PRO:PER	me
éloigner	VER:infi	éloigner
sans	PRP	sans
ordre	NOM	ordre
il	PRO:PER	il
y	PRO:PER	y
va	VER:pres	aller
de	PRP	de
ma	DET:POS	mon
tête	NOM	tête
,	PUN	,
Qu'	ADJ	Qu'
aujourd'hui	ADV	aujourd'hui
découvert	VER:pper	découvrir
je	PRO:PER	je
périrai	VER:futu	périr
demain	ADV	demain
;	PUN	;
Que	VER:ppre	Que
mon	DET:POS	mon
sang	NOM	sang
,	PUN	,
que	KON	que
l'	DET:ART	le
État	NAM	État
me	PRO:PER	me
défendront	VER:futu	défendre
en	PRP	en
vain	ADJ	vain
;	PUN	;
Mais	VER:impf	Mais
mon	DET:POS	mon
destin	NOM	destin
le	PRO:PER	le
veut	VER:pres	vouloir
il	PRO:PER	il
faut	VER:pres	falloir
que	KON	que
